numero_amostra,accel_x,accel_y,accel_z,giro_x,giro_y,giro_z
92,0.8215,-0.1086,0.7173,-15.7939,-11.6031,-14.5649
93,0.7595,-0.0229,0.6013,11.7099,19.0534,5.3588
94,0.8140,-0.0466,0.6851,1.4122,32.3740,10.1908
95,0.7952,-0.1555,0.5959,10.0840,-24.4733,1.2214
96,0.7466,0.0342,0.7153,19.2595,-8.5802,30.0687
97,0.7361,-0.0505,0.7734,5.3740,-33.9466,36.7710
98,0.8228,-0.0649,0.7922,-15.3435,16.9924,-35.5802
99,0.7847,-0.0410,0.6880,-39.1298,3.6870,-4.7939
100,0.7495,-0.0981,0.7075,-32.2137,31.6870,-12.9466
101,0.7087,0.0002,0.6641,-14.0763,4.1450,-26.5802
102,0.7400,-0.0925,0.5449,37.2901,22.8702,2.4275
103,0.9541,-0.1108,0.9382,32.2214,-123.6718,66.1374
104,0.7959,0.0928,0.5874,37.5267,11.4351,13.3588
105,0.8457,0.0813,0.8135,24.1298,-35.8779,68.5343
106,0.8003,0.0471,0.8826,-55.2672,7.6794,-27.4504
107,0.7632,-0.0691,0.6094,-49.1374,80.5649,-55.3588
108,0.7190,-0.1348,0.7659,-50.8855,-22.3511,1.8702
109,0.7380,-0.1067,0.5659,-2.9008,7.3817,-57.1832
110,0.7793,-0.0911,0.5576,27.2137,-97.6183,34.8168
111,0.8337,0.1204,0.8835,13.3664,-49.8397,18.3130
112,0.7791,-0.0532,0.6030,4.9389,-53.6794,42.4427
113,0.8154,-0.0173,0.7756,-10.3206,-2.8092,-7.4427
114,0.7725,-0.0508,0.5330,5.9847,0.1221,-18.6870
115,0.8313,0.0308,0.6985,1.5954,-9.7328,25.8473
116,0.8098,-0.0681,0.6011,-6.8855,5.4351,-9.1908
117,0.7915,0.0544,0.7090,-29.6489,-9.3893,-1.6107
118,0.9136,0.0066,0.7122,-63.0916,67.6336,-69.8550
119,0.7852,-0.1658,0.5542,-64.1298,-10.4580,-2.7786
120,0.7681,-0.1025,0.7439,-49.7099,9.0076,9.9008
121,0.7197,-0.1702,0.5652,-21.5496,-10.3969,-25.9542
122,0.7625,-0.1394,0.7356,-21.3588,5.9847,21.8626
123,0.7222,-0.2185,0.6028,-16.3130,-6.5191,-12.7328
124,0.7495,-0.1479,0.6943,-6.9389,10.1221,-1.5344
125,0.6909,-0.2439,0.6465,-15.1832,31.7939,19.4809
126,0.7000,-0.2383,0.7510,0.4733,-3.6565,-2.1069
127,0.6499,-0.2397,0.7212,-8.0687,4.6794,7.7786
128,0.6091,-0.1914,0.6660,-1.4504,-4.1069,-3.9771
129,0.6843,-0.2395,0.7498,-3.3969,2.1069,9.8397
130,0.6760,-0.2930,0.7031,-5.3969,-22.3206,2.4962
131,0.6899,-0.2705,0.8428,0.1069,-5.5038,-8.6718
132,0.4919,-0.0767,0.5022,40.1374,-8.1450,-0.6031
133,0.7922,-0.1931,0.7187,47.7786,45.1450,23.3588
134,0.5669,-0.1797,0.6477,68.4351,-75.0611,146.0229
135,0.8362,-0.2610,0.8845,60.1679,-15.6183,48.8931
136,0.8320,-0.2368,0.5557,89.8092,-68.0076,69.2443
137,0.7644,0.0417,0.6790,63.7634,-58.8015,2.1450
138,0.8315,-0.1125,0.4568,17.7634,31.7099,-34.5038
139,0.9539,-0.0688,0.7732,-111.3282,10.0840,-29.6641
140,0.9658,-0.1714,0.3350,-56.8931,108.7710,-71.5649
141,0.8906,-0.1294,0.7441,-76.2443,-68.8931,58.7481
142,0.7861,-0.1682,0.5117,-32.4046,94.5038,-45.4733
143,0.7822,-0.3547,0.4978,-28.2519,-0.5802,-17.7939
144,0.7852,-0.2737,0.4299,34.9542,-6.8397,-4.0763
145,0.9697,-0.1724,0.6770,90.1221,-49.0840,78.4198
146,0.8584,-0.0071,0.5273,141.9237,-8.1374,-100.0687
147,0.9072,-0.0913,0.4883,141.7023,-30.1221,37.1145
148,1.0747,-0.0454,0.5930,93.5191,-50.0305,16.7328
149,0.8916,0.1536,0.3286,92.7939,22.6183,31.4351
150,0.9287,0.0955,0.4973,142.9084,54.0382,24.2901
151,0.8748,0.2371,0.4980,25.1221,16.0992,8.0076
152,0.8198,0.2141,0.4604,-5.1069,6.5954,11.9237
153,0.8213,0.0964,0.6836,-132.8855,-15.6107,9.6565
154,0.7014,-0.0723,0.4402,-173.8168,22.8015,-10.7939
155,0.8660,-0.0125,0.4849,-133.0763,56.2595,-93.0611
156,0.8701,-0.3691,0.2908,-72.8626,54.9542,-37.5115
157,0.9495,-0.2021,0.4355,-53.2977,-36.6336,-57.4580
158,0.9036,-0.2454,0.3425,-19.1450,18.6794,27.4427
159,0.9048,-0.3564,0.3284,-19.3664,-15.8321,0.7710
160,0.9192,-0.2866,0.3962,7.6107,11.7252,14.6718
161,0.7998,-0.2959,0.3555,21.2137,3.5267,52.0076
162,0.8901,-0.4441,0.5117,23.4122,26.7557,-7.0076
163,0.8435,-0.3445,0.3914,14.4885,-20.2748,-11.9084
164,0.8674,-0.2693,0.4460,16.1298,2.4580,-0.2748
165,0.8406,-0.2720,0.4678,3.4046,8.5115,-0.2137
166,0.8728,-0.2886,0.4224,5.0916,11.0840,6.4046
167,0.8523,-0.3003,0.4670,-6.2519,-9.1298,15.8931
168,0.8845,-0.3184,0.4668,-3.1374,13.6260,-12.9389
169,0.8792,-0.2629,0.4583,-16.7634,8.9847,-2.0534
170,0.8474,-0.3125,0.5081,-17.8321,11.0534,6.9237
171,0.8789,-0.4890,0.4360,-4.5725,36.9466,-41.7557
172,0.7385,-0.0786,0.4958,0.4427,4.4046,44.9389
173,0.8398,-0.4197,0.6006,-2.6870,47.0992,-5.2824
174,0.8210,-0.4143,0.6267,9.0229,20.1679,39.9771
175,0.6956,-0.2878,0.5798,-4.7710,-15.9695,-6.2366
176,0.7629,-0.3154,0.6545,-8.4809,5.9084,7.7023
177,0.7266,-0.4741,0.6294,-12.6718,-16.4351,2.0687
178,0.7939,-0.4250,0.6243,-15.7710,-35.1298,-20.1145
179,0.7273,-0.3374,0.5173,-6.7710,-24.2366,-12.1298
180,0.7556,-0.3130,0.6265,1.6489,-2.2977,-3.7099
181,0.7468,-0.3809,0.5591,5.2977,9.3130,-0.3359
182,0.7383,-0.3833,0.5066,33.5267,1.1298,36.8855
183,0.7515,-0.3567,0.7139,29.9695,-78.8931,13.8092
184,0.8611,-0.3848,0.7336,26.3740,-40.3282,-33.9618
185,0.8254,-0.0925,0.6035,-15.3969,-35.4122,-4.1603
186,0.8289,-0.2642,0.4812,-14.3511,8.2519,-2.1985
187,0.8132,-0.1453,0.5598,-12.5344,4.4885,2.5725
188,0.8201,-0.2417,0.4602,-7.6641,-3.7328,2.9389
189,0.8704,-0.2253,0.5972,-5.1985,12.9084,-6.9008
190,0.8484,-0.2288,0.6021,-25.9084,-2.4046,-16.1832
191,0.8633,-0.2043,0.4915,3.6947,60.2366,8.9618
192,0.7356,-0.3071,0.4946,-8.6107,-34.6870,42.9160
193,0.8728,-0.2222,0.6309,6.4733,-9.9160,-38.0458
194,0.8044,-0.2363,0.5059,3.7863,-6.6565,5.6641
195,0.7915,-0.1875,0.4795,18.0305,0.1756,-1.9542
196,0.8652,-0.2278,0.5786,-4.2290,16.7023,7.7557
197,0.8274,-0.3037,0.5261,-11.7939,-9.2748,1.4733
198,0.8437,-0.2197,0.4993,2.8626,3.7328,-6.4809
199,0.8369,-0.2981,0.5322,10.3282,5.0458,22.6947
200,0.8362,-0.2312,0.5813,-0.3664,-3.4504,-8.2901
201,0.8489,-0.2036,0.5239,-5.4885,-2.7634,7.8779
202,0.8997,-0.1968,0.6411,-26.2137,41.1679,-14.5267
203,0.6658,-0.2026,0.1802,51.0153,58.0305,35.2824
204,0.8936,-0.2781,0.9751,-22.8473,-21.0382,4.1298
205,0.7551,-0.3044,0.3479,-6.6107,57.2595,-44.0076
206,0.8435,-0.2395,0.8030,-38.8397,-10.5496,35.1679
207,0.7156,-0.4333,0.5002,-10.3511,34.2137,-11.6641
208,0.7712,-0.3237,0.7217,-11.7634,1.1908,21.5878
209,0.7495,-0.4375,0.5642,-9.9618,-14.9313,5.8931
210,0.7312,-0.3228,0.6311,-7.4122,10.1603,0.6183
211,0.7285,-0.3628,0.5659,-38.7176,-8.9466,10.6107
212,0.7007,-0.3464,0.5642,-11.9084,28.1069,19.3282
213,0.7095,-0.4253,0.4790,25.3817,21.2824,14.9160
214,0.7803,-0.4497,0.5088,47.1221,-58.0611,46.3435
215,0.8694,-0.5327,0.9231,0.4351,-105.5267,1.0076
216,0.8652,-0.2681,0.4177,16.0916,28.9008,-77.3511
217,0.8589,-0.2419,0.5388,32.9466,-39.5038,54.0611
218,0.8538,-0.1853,0.5195,68.2672,6.8473,3.4351
219,0.8789,-0.0076,0.5361,44.8702,-34.1145,0.1679
220,0.8525,-0.1831,0.5671,43.1450,61.5649,-16.6412
221,0.8799,-0.1523,0.5669,-1.1985,-58.0458,-18.7481
222,0.8931,0.0452,0.5667,5.4733,-8.5267,-5.9008
223,0.8247,-0.0266,0.4607,25.4122,14.7710,-45.4122
224,0.9407,0.0552,0.5032,18.5725,-31.6489,10.4198
225,0.9592,0.1206,0.3604,97.2443,34.2519,-30.7863
226,0.8811,0.1362,0.4587,85.9313,-4.2443,67.7557
227,0.9775,0.1450,0.4370,122.8779,13.6031,-52.6107
228,0.8367,0.3953,0.2852,128.1374,-7.8321,67.8168
229,0.7129,-0.2732,0.3943,-250.1374,-56.2061,54.5725
230,0.9409,0.1799,0.4373,113.0458,37.7634,-18.2137
231,0.9131,0.2957,0.2952,43.5496,14.3969,-9.8092
232,0.7297,0.3223,0.4170,53.6031,31.5649,-34.8550
233,0.8398,0.4661,0.3228,189.4122,149.3893,-55.4656
234,0.7063,0.6196,0.4189,-38.6641,-41.0153,12.4962
235,0.7671,0.5386,0.3960,33.1527,33.2748,-15.8015
236,0.7280,0.5828,0.4114,-17.5420,-17.4733,5.7786
237,0.7292,0.5806,0.4082,12.9237,11.9924,-6.5802
238,0.7319,0.5820,0.4067,-4.4198,-5.0763,0.4656
239,0.7170,0.5903,0.4124,3.7939,1.9542,-2.6107
240,0.7251,0.5874,0.4062,0.3817,0.2824,-0.9924
241,0.7100,0.5999,0.4180,-2.1298,-1.2672,-1.5649
242,0.7119,0.6069,0.4126,-0.2901,-0.1069,-1.0611
243,0.7119,0.6050,0.4023,0.1069,-0.6107,-0.4885
244,0.7083,0.6084,0.4077,7.4351,3.7786,-1.8550
245,0.7063,0.6104,0.4043,-3.2061,-2.9008,-0.3435
246,0.6978,0.6147,0.4038,-0.6183,-0.6870,-1.0687
247,0.7065,0.6196,0.4036,-1.2595,-1.0992,-0.7023
